,Diabetes,No Diabetes
Total (n),47963.0,239391.0
AGE (mean),65.7435886743672,59.748291019705505
FEMALE (%),61.68504889185413,56.02549803459612
ZIPINC_QRTL (mean),2.2897729692890914,2.500910777821283
DIED (%),1.8389174989054062,1.4850182337681868
LOS (mean),4.916058546349193,4.788161330074984
RACE: White,69.31767437706529,77.76539064248936
RACE: Black,13.17763686701795,8.234609357510633
RACE: Hispanic,13.166473162454228,10.325945824938437
RACE: Asian or Pacific Islander,1.1989818701437884,0.9644056413700469
RACE: Native American,0.6318656783066893,0.4401164092231923
RACE: Other,2.507368045012057,2.269532124468323
Presented w/Perforation (%),5.702312198986719,3.7632993721568484
