,Diabetes,No Diabetes
Total (n),2735.0,9009.0
AGE (mean),71.454478976234,70.01898101898102
FEMALE (%),60.43875685557587,59.1963591963592
ZIPINC_QRTL (mean),2.211738484398217,2.3223796033994333
DIED (%),1.6453382084095063,2.0202020202020203
LOS (mean),4.687751371115174,4.458985458985459
RACE: White,66.64077669902912,76.68609492089925
RACE: Black,18.9126213592233,12.406328059950042
RACE: Hispanic,9.70873786407767,7.398596407755442
RACE: Other,2.174757281553398,1.689068633281789
RACE: Asian or Pacific Islander,1.825242718446602,1.2965385987867253
RACE: Native American,0.7378640776699029,0.5233733793267515
PAY1: Medicare,73.74588062980592,65.77688799911023
PAY1: Private insurance,16.807030391797877,23.668112557001447
PAY1: Medicaid,5.162943976565361,4.61572683794906
PAY1: Self-pay,2.1969974368363236,3.9595150706261815
PAY1: Other,1.684364701574515,1.6905794683572462
PAY1: No charge,0.4027828634199927,0.28917806695584475
Had IR procedure (%),1.023765996343693,0.987900987900988
Had operation (%),8.3363802559415,7.15950715950716
